"Season","Date","MatchNr","Home","Away","AvgH","AvgD","AvgA","NrWinH","NrDrawH","NrLostH","NrWinA","NrDrawA","NrLostA","NrWinL5H","NrDrawL5H","NrLostL5H","NrWinL5A","NrDrawL5A","NrLostL5A","Model_ProbH","Model_ProbD","Model_ProbA","Bet_Model","Bet_Lul","Bet_Eric","Bet_Maki","Result"
2018,"2018-08-18",9,"Leeds","Rotherham",1.43,4.7,6.9,2,0,0,1,0,1,5,0,0,3,0,2,0.8230855327,0.092067733,0.0848467343,"1","1","1","1","1"
2018,"2018-08-18",10,"Millwall","Derby",2.28,3.3,3.2,0,2,0,1,0,1,1,3,1,4,0,1,0.6709922256,0.2886898118,0.0403179626,"1","X2","1","1","1"
2018,"2018-08-18",11,"Reading","Bolton",2.04,3.3,3.85,0,0,2,1,1,0,1,1,3,2,1,2,0.6395252613,0.1944250871,0.1660496516,"1","1","1","1","2"
2018,"2018-08-18",12,"Sheffield United","Norwich",2.01,3.45,3.75,1,0,2,0,1,1,2,1,2,2,1,2,0.4188820799,0.4545577434,0.1265601766,"1X","1X","1","1X","1"
2018,"2018-08-18",13,"West Brom","QPR",1.64,3.9,5.3,1,1,1,0,0,2,3,1,1,2,1,2,0.8539481543,0.1302831203,0.0157687254,"1","1","1X","1","1"
2018,"2018-08-25",1,"Arsenal","West Ham",1.38,5.55,8.55,0,0,2,0,0,2,2,1,2,2,1,2,0.7805143993,0.0442379761,0.1752476245,"1","1","1","1","1"
2018,"2018-08-25",2,"Bournemouth","Everton",2.65,3.6,2.7,2,0,0,1,1,0,3,0,2,1,1,3,0.3771727021,0.3276033493,0.2952239485,"1","1X","X2","1","X"
2018,"2018-08-25",3,"Fulham","Burnley",2,3.27,3.9,0,0,2,0,1,1,0,1,4,1,2,2,0.7754591788,0.1206173671,0.1039234542,NA,NA,NA,NA,"1"
2018,"2018-08-25",4,"Huddersfield","Cardiff",2.37,3.1,3.6,0,0,2,0,1,1,3,0,2,1,1,3,0.4458560194,0.4836501417,0.070493839,"1X","X","1","1X","X"
2018,"2018-08-25",5,"Southampton","Leicester",2.4,3.25,3.2,0,1,1,1,0,1,1,1,3,2,1,2,0.3321538204,0.5377462745,0.1300999051,"1X","1X","1X","1X","2"
2018,"2018-08-25",6,"Aston Villa","Reading",1.62,3.8,5.7,2,2,0,0,1,3,3,2,0,1,1,3,0.9564637734,0.0198405401,0.0236956864,"1","1","1X","1","X"
2018,"2018-08-25",7,"Norwich","Leeds",2.65,3.5,2.5,1,1,2,3,1,0,2,1,2,4,1,0,0.10844094,0.4101530488,0.4814060112,"X2","1","1","X2","2"
2018,"2018-08-25",8,"Swansea","Bristol City",2.25,3.4,3.15,2,2,0,1,2,1,2,2,1,1,2,2,0.4005793211,0.2080963651,0.3913243138,"12","1","12","12","2"
2018,"2018-08-25",9,"Bolton","Sheffield United",4.3,3.3,1.92,3,1,0,2,0,2,3,1,1,2,1,2,0.1912730949,0.224877857,0.5838490481,"2","X2","2","2","2"
2018,"2018-08-25",10,"Derby","Preston",2.4,3.15,3.05,2,0,2,1,1,2,3,0,2,2,1,2,0.7679746083,0.1545077959,0.0775175958,"1","1","1","1","1"
2018,"2018-08-25",11,"QPR","Wigan",2.8,3.35,2.45,0,0,4,2,1,1,1,0,4,2,1,2,0.2786720547,0.5725480565,0.1487798888,"X","X2","2","X","1"
2018,"2018-08-25",12,"Sheffield Weds","Ipswich",2.36,3.1,3.25,1,1,2,0,2,2,2,1,2,0,3,2,0.4658738366,0.4526025508,0.0815236125,"1X","1X","X","1X","1"
2018,"2018-08-25",13,"Stoke","Hull",1.95,3.3,4.15,0,2,2,1,1,2,0,2,3,1,2,2,0.7954660422,0.1185386417,0.0859953162,"1","1","1","1","1"
2018,"2018-09-01",1,"Man City","Newcastle",1.12,11,25,2,1,0,0,1,2,4,1,0,0,1,4,0.9795365469,0.001177439,0.0192860141,"1","1","1","1","1"
2018,"2018-09-01",2,"Brighton","Fulham",2.34,3.4,3.25,1,0,2,1,0,2,2,0,3,2,1,2,0.61159284,0.2525340885,0.1358730714,"1","1X","1X","1","X"
2018,"2018-09-01",3,"Chelsea","Bournemouth",1.29,6.4,11,3,0,0,2,1,0,3,1,1,4,1,0,0.9875770467,0.0066517436,0.0057712097,"1","1","1","1","1"
2018,"2018-09-01",4,"Crystal Palace","Southampton",2.01,3.5,4.2,1,0,2,0,1,2,3,0,2,1,1,3,0.5822022433,0.1135163444,0.3042814123,"12","1","12","12","2"
2018,"2018-09-01",5,"Everton","Huddersfield",1.54,4.2,7.4,1,2,0,0,1,2,2,2,1,1,1,3,0.9151244512,0.0476825559,0.037192993,"1","1X","1","1","X"
2018,"2018-09-01",6,"West Ham","Wolves",2.6,3.4,2.85,0,0,3,0,2,1,2,0,3,2,2,1,0.3173553719,0.2363636364,0.4462809917,"12","2","1X","12","2"
2018,"2018-09-01",7,"Birmingham","QPR",2.03,3.45,3.65,0,3,2,1,0,4,0,2,3,3,0,2,0.3606368832,0.3421749392,0.2971881776,"1X","1","1","1X","X"
2018,"2018-09-01",8,"Hull","Derby",2.7,3.3,2.6,1,1,3,3,0,2,1,1,3,4,0,1,0.4012825403,0.332316201,0.2664012587,"1X","X2","1X","1X","2"
2018,"2018-09-01",9,"Millwall","Swansea",2.08,3.4,3.55,1,2,2,2,2,1,2,1,2,1,2,2,0.728633432,0.1521924309,0.119174137,"1","X","1","1","2"
2018,"2018-09-01",10,"Sheffield United","Aston Villa",2.36,3.25,3.1,3,0,2,2,3,0,3,1,1,1,3,1,0.2409518973,0.5301680362,0.2288800665,"X","1X","1","X","1"
2018,"2018-09-01",11,"West Brom","Stoke",1.92,3.4,4.15,2,1,2,1,2,2,4,0,1,2,2,1,0.4782562803,0.2853071564,0.2364365632,"1","1","1","1","1"
2018,"2018-09-01",12,"AIK","Hacken",1.77,3.6,4.95,13,6,0,9,4,6,4,0,1,5,0,0,0.6893615374,0.267848503,0.0427899596,"1","1","1","1","1"
2018,"2018-09-01",13,"Orebro","Ostersunds",2.8,3.45,2.45,6,5,8,10,3,6,2,0,3,3,0,2,0.1706959124,0.538163119,0.2911409686,"X2","1X","X2","X2","1"
2018,"2018-09-15",1,"Watford","Man United",4.25,3.6,1.95,4,0,0,2,0,2,4,0,1,3,0,2,0.2719098458,0.4412811388,0.2868090154,"X","X2","X2","X2",NA
2018,"2018-09-15",2,"Bournemouth","Leicester",2.4,3.45,3.05,2,1,1,2,0,2,3,1,1,2,0,3,0.2363041604,0.444159709,0.3195361306,"X2","1","1X","X",NA
2018,"2018-09-15",3,"Chelsea","Cardiff",1.19,7.8,19,4,0,0,0,2,2,4,0,1,0,3,2,0.9877420755,0.0070181381,0.0052397864,"1","1","1","1",NA
2018,"2018-09-15",4,"Huddersfield","Crystal Palace",3,3.2,2.55,0,2,2,1,0,3,0,2,3,2,0,3,0.3046048611,0.2300667576,0.4653283814,"12","X2","2","12",NA
2018,"2018-09-15",5,"Man City","Fulham",1.12,11,27,3,1,0,1,1,2,4,1,0,1,1,3,0.9892880464,0.0004037544,0.0103081992,"1","1","1","1",NA
2018,"2018-09-15",6,"Newcastle","Arsenal",4.2,3.8,1.92,0,1,3,2,0,2,1,1,3,3,0,2,0.3132637787,0.1363910547,0.5503451666,"12","X2","X2","12",NA
2018,"2018-09-15",7,"Blackburn","Aston Villa",2.7,3.25,2.6,2,3,1,2,3,1,2,2,1,1,3,1,0.1948214821,0.1975738877,0.6076046303,"2","X","1","2",NA
2018,"2018-09-15",8,"Brentford","Wigan",1.86,3.5,4.3,3,2,1,3,1,2,2,2,1,2,1,2,0.7743756504,0.2083246618,0.0172996878,"1","1","1","1",NA
2018,"2018-09-15",9,"Bristol City","Sheffield United",2.65,3.35,2.6,3,2,1,4,0,2,3,1,1,4,0,1,0.1350105627,0.6588566673,0.20613277,"X","X2","1X","X",NA
2018,"2018-09-15",10,"Hull","Ipswich",2.15,3.35,3.45,1,1,4,0,3,3,1,1,3,0,2,3,0.450660957,0.3675293241,0.1818097189,"1X","1","1X","1X",NA
2018,"2018-09-15",11,"Millwall","Leeds",3.1,3.35,2.31,1,2,3,4,2,0,1,1,3,3,2,0,0.0416262884,0.1389833495,0.8193903621,"2","1","2","2",NA
2018,"2018-09-15",12,"Orebro","Sundsvall",2.4,3.45,2.9,7,5,8,9,5,6,2,0,3,3,1,1,0.5600595482,0.2389199509,0.2010205009,"1","1X","1","1",NA
2018,"2018-09-15",13,"Ostersunds","Malmo FF",2.95,3.35,2.4,10,3,7,11,4,5,2,0,3,5,0,0,0.1379662409,0.2876627196,0.5743710395,"X2","2","2","X2",NA
2018,"2018-09-22",1,"Burnley","Bournemouth",2.85,3.35,2.65,3,7,24,17,7,10,1,0,6,1,0,6,0.527305025499971,0.287891811357515,0.184803163142513,NA,"X2","1X","X2",NA
2018,"2018-09-22",2,"Cardiff","Man City",22,8.2,1.17,0,14,20,27,7,0,0,0,7,7,0,0,0.04456962558541,0.0857279733044792,0.869702401110111,NA,"2","2","2",NA
2018,"2018-09-22",3,"Crystal Palace","Newcastle",2.04,3.45,4.05,10,3,21,0,10,24,1,1,5,0,1,6,0.512443909885738,0.206110931211546,0.281445158902715,NA,"X","1X","2",NA
2018,"2018-09-22",4,"Leicester","Huddersfield",1.63,4.05,6.2,17,0,17,0,14,20,1,0,6,0,5,2,0.491801369543951,0.21379326407975,0.294405366376298,NA,"1X","1","1",NA
2018,"2018-09-22",5,"Liverpool","Southampton",1.21,7.35,16.5,34,0,0,7,10,17,7,0,0,5,1,1,0.773263619020702,0.202448244188511,0.0242881367907864,NA,"1","1","1X",NA
2018,"2018-09-22",6,"Man United","Wolves",1.6,4.15,6.35,17,3,14,10,17,7,6,1,0,6,1,0,0.570242136229916,0.228105906313646,0.201651957456438,NA,"1","1X","1",NA
2018,"2018-09-22",7,"Aston Villa","Sheffield Weds",1.68,3.8,5.1,17,24,10,24,10,17,1,1,6,6,1,1,0.418109128269269,0.46469970741295,0.117191164317781,NA,"1","1","X",NA
2018,"2018-09-22",8,"Ipswich","Bolton",1.88,3.6,4.05,0,27,24,21,17,13,0,7,1,0,6,2,0.259454010149958,0.201097478548762,0.53944851130128,NA,"1X","1","1X",NA
2018,"2018-09-22",9,"Leeds","Birmingham",1.69,3.85,4.9,31,17,3,3,34,14,1,6,1,1,7,0,0.591888810467452,0.110722623378034,0.297388566154514,NA,"1","1","2",NA
2018,"2018-09-22",10,"Middlesbrough","Swansea",1.86,3.55,4.25,31,17,3,21,20,10,1,6,1,5,2,1,0.226976369940008,0.391842482043758,0.381181148016235,NA,"1","1X","1",NA
2018,"2018-09-22",11,"Elfsborg","Orebro",2.3,3.65,2.95,31,45,70,52,35,59,1,6,0,6,0,1,0.372701276636476,0.341724595891312,0.285574127472212,NA,"1X","1","1",NA
2018,"2018-09-22",12,"Sirius","Ostersunds",3.8,3.6,1.97,35,17,94,73,21,52,0,1,6,1,0,6,0.174889603033316,0.467031188588075,0.35807920837861,NA,"2","12","X2",NA
2018,"2018-09-22",13,"Trelleborgs","Djurgarden",7.15,5.45,1.39,21,28,97,66,35,45,0,5,2,6,0,1,0.366672873702342,0.186234346631907,0.447092779665751,NA,"X2","2","X2",NA
2018,"2018-09-29",1,"Chelsea","Liverpool",2.9,3.65,2.45,5,1,0,6,0,0,4,1,0,5,0,0,0.431189331397986,0.135625510296652,0.433185158305362,NA,"X2","1X","12",NA
2018,"2018-09-29",2,"Arsenal","Watford",1.46,5.15,6.95,4,0,2,4,1,1,4,0,1,3,1,1,0.926748198180195,0.069195209357473,0.00405659246233164,NA,"1","1X","1",NA
2018,"2018-09-29",3,"Everton","Fulham",1.77,4.2,4.6,1,3,2,1,2,3,1,2,2,1,2,2,0.442039571330069,0.195963397104024,0.361997031565907,NA,"1X","1","X",NA
2018,"2018-09-29",4,"Huddersfield","Tottenham",8,4.75,1.46,0,2,4,4,0,2,0,2,3,3,0,2,0.153082854597401,0.00565266812079506,0.841264477281804,NA,"2","X2","X2",NA
2018,"2018-09-29",5,"Man City","Brighton",1.1,12,30,5,1,0,1,2,3,4,1,0,1,2,2,0.970481804319625,0.0278738705933226,0.00164432508705251,NA,"1","1","1",NA
2018,"2018-09-29",6,"Newcastle","Leicester",2.65,3.3,2.9,0,2,4,3,0,3,0,2,3,3,0,2,0.414073040510153,0.422813916212133,0.163113043277713,NA,"X2","X2","2",NA
2018,"2018-09-29",7,"Wolves","Southampton",1.84,3.6,5,2,3,1,1,2,3,2,2,1,1,1,3,0.47312108559499,0.441479645093946,0.0853992693110647,NA,"1","1","1X",NA
2018,"2018-09-29",8,"Birmingham","Ipswich",1.92,3.2,4.5,1,6,2,0,5,4,1,4,0,0,3,2,0.439383070301291,0.439427905308465,0.121189024390244,NA,"1X","1X","X",NA
2018,"2018-09-29",9,"Blackburn","Nott'm Forest",2.17,3.2,3.55,3,5,1,3,5,1,2,2,1,2,2,1,0.518339171646404,0.429734185040181,0.0519266433134144,NA,"1","1","2",NA
2018,"2018-09-29",10,"Brentford","Reading",1.46,4.5,6.7,4,3,2,2,2,5,2,1,2,2,1,2,0.812565163286584,0.168861197995493,0.0185736387179228,NA,"1","1","1X",NA
2018,"2018-09-29",11,"Millwall","Sheffield United",3.15,3.2,2.36,1,3,5,5,1,3,0,1,4,3,1,1,0.0982861323022259,0.663601212247884,0.23811265544989,NA,"1X","2","2",NA
2018,"2018-09-29",12,"Norwich","Wigan",2.28,3.4,3.1,4,2,3,5,1,3,3,1,1,3,0,2,0.588338905468172,0.201269997980569,0.21039109655126,NA,"X","1","1X",NA
2018,"2018-09-29",13,"Sirius","Norrkoping",4.8,4.3,1.65,5,4,14,14,6,3,0,2,3,4,1,0,0.222635763830147,0.199097727400891,0.578266508768962,NA,"2","2","2",NA
2018,"2018-10-06",1,"Man United","Newcastle",1.46,4.6,8.4,3,1,3,0,2,5,2,1,2,0,1,4,0.940943316006748,0.0401300179666177,0.0189266660266345,NA,NA,NA,NA,NA
2018,"2018-10-06",2,"Burnley","Huddersfield",2.21,3.1,4.05,2,1,4,0,2,5,2,0,3,0,2,3,0.807339449541284,0.147593755029776,0.0450667954289393,NA,NA,NA,NA,NA
2018,"2018-10-06",3,"Crystal Palace","Wolves",2.75,3.25,2.8,2,1,4,3,3,1,1,1,3,3,2,0,0.210685105184072,0.446093163035312,0.343221731780616,NA,NA,NA,NA,NA
2018,"2018-10-06",4,"Leicester","Everton",2.27,3.55,3.35,4,0,3,2,3,2,3,0,2,1,2,2,0.378838552751596,0.4265617325818,0.194599714666604,NA,NA,NA,NA,NA
2018,"2018-10-06",5,"Tottenham","Cardiff",1.24,7,14,5,0,2,0,2,5,3,0,2,0,1,4,0.950779639054839,0.0474449144359375,0.00177544650922298,NA,NA,NA,NA,NA
2018,"2018-10-06",6,"Watford","Bournemouth",2.13,3.7,3.55,4,1,2,4,1,2,2,1,2,2,1,2,0.378398693961923,0.426776129570252,0.194825176467825,NA,NA,NA,NA,NA
2018,"2018-10-06",7,"Middlesbrough","Nott'm Forest",1.8,3.45,4.8,6,4,1,3,7,1,2,2,1,2,3,0,0.502167377473257,0.283471998881354,0.214360623645389,NA,NA,NA,NA,NA
2018,"2018-10-06",8,"Millwall","Aston Villa",2.95,3.25,2.4,1,4,6,3,6,2,0,2,3,1,3,1,0.1877425614489,0.305950840879689,0.50630659767141,NA,NA,NA,NA,NA
2018,"2018-10-06",9,"Norwich","Stoke",2.4,3.25,2.95,5,3,3,3,4,4,4,1,0,2,2,1,0.0671378772412996,0.180652119484621,0.752210003274079,NA,NA,NA,NA,NA
2018,"2018-10-06",10,"Swansea","Ipswich",1.86,3.45,4.4,4,5,2,0,6,5,1,3,1,0,3,2,0.43743581376153,0.539106815498757,0.0234573707397134,NA,NA,NA,NA,NA
2018,"2018-10-06",11,"West Brom","Reading",1.55,4.1,6.1,6,3,2,2,3,6,3,2,0,2,1,2,0.69066442552942,0.261177183398646,0.0481583910719346,NA,NA,NA,NA,NA
2018,"2018-10-06",12,"Bolton","Blackburn",3.35,3.15,2.28,4,3,4,3,6,2,1,1,3,1,3,1,0.223202200585076,0.150678950355849,0.626118849059075,NA,NA,NA,NA,NA
2018,"2018-10-06",13,"Goteborg","Trelleborgs",1.48,4.5,6.95,7,3,14,3,4,17,0,2,3,0,1,4,0.82267082070761,0.14959668814818,0.0277324911442107,NA,NA,NA,NA,NA
