"Date","Div","Home","Away","Res","AvgH","AvgD","AvgA","Season"
"2010-04-10","D1","Hannover","Schalke 04","H",4.83,3.53,1.71,2009
"2010-04-10","D1","Hertha","Stuttgart","A",2.85,3.27,2.39,2009
"2010-04-10","D1","Hoffenheim","FC Koln","A",1.87,3.39,4.06,2009
"2010-04-10","D1","Leverkusen","Bayern Munich","D",3.12,3.32,2.21,2009
"2010-04-10","D1","Mainz","Dortmund","H",3.76,3.37,1.95,2009
"2010-04-10","D1","Werder Bremen","Freiburg","H",1.32,4.74,9.02,2009
"2010-04-11","D1","Bochum","Hamburg","A",3.22,3.29,2.17,2009
"2010-04-11","D1","Nurnberg","Wolfsburg","A",2.87,3.29,2.37,2009
"2010-04-16","D1","FC Koln","Bochum","H",2.14,3.25,3.35,2009
"2010-04-17","D1","Bayern Munich","Hannover","H",1.2,5.93,12.58,2009
"2010-04-17","D1","Freiburg","Nurnberg","H",2.29,3.22,3.02,2009
"2010-04-17","D1","Hamburg","Mainz","A",1.41,4.23,7.56,2009
"2010-04-17","D1","Schalke 04","M'gladbach","H",1.37,4.47,8.34,2009
"2010-04-17","D1","Stuttgart","Leverkusen","H",2.15,3.3,3.24,2009
"2010-04-17","D1","Wolfsburg","Werder Bremen","A",2.61,3.33,2.54,2009
"2010-04-18","D1","Dortmund","Hoffenheim","D",1.56,3.77,5.88,2009
"2010-04-18","D1","Ein Frankfurt","Hertha","D",2.28,3.3,2.98,2009
"2010-04-23","D1","Bochum","Stuttgart","A",4.27,3.56,1.81,2009
"2010-04-24","D1","Hertha","Schalke 04","A",3.76,3.57,1.9,2009
"2010-04-24","D1","Leverkusen","Hannover","H",1.29,5.03,9.78,2009
"2010-04-24","D1","Mainz","Ein Frankfurt","D",2.2,3.25,3.21,2009
"2010-04-24","D1","M'gladbach","Bayern Munich","D",6.3,4.17,1.48,2009
"2010-04-24","D1","Nurnberg","Dortmund","A",3.19,3.29,2.2,2009
"2010-04-24","D1","Werder Bremen","FC Koln","H",1.27,5.32,10.19,2009
"2010-04-25","D1","Freiburg","Wolfsburg","H",3.04,3.38,2.22,2009
"2010-04-25","D1","Hoffenheim","Hamburg","H",2.75,3.26,2.47,2009
"2010-05-01","D1","Bayern Munich","Bochum","H",1.11,7.97,19.35,2009
"2010-05-01","D1","Dortmund","Wolfsburg","D",1.6,3.87,5.26,2009
"2010-05-01","D1","Ein Frankfurt","Hoffenheim","A",2.35,3.31,2.88,2009
"2010-05-01","D1","FC Koln","Freiburg","D",2.41,3.26,2.84,2009
"2010-05-01","D1","Hamburg","Nurnberg","H",1.96,3.4,3.72,2009
"2010-05-01","D1","Hannover","M'gladbach","H",1.84,3.51,4.07,2009
"2010-05-01","D1","Leverkusen","Hertha","D",1.32,5.01,8.78,2009
"2010-05-01","D1","Schalke 04","Werder Bremen","A",2.16,3.37,3.2,2009
"2010-05-01","D1","Stuttgart","Mainz","D",1.31,4.97,9.05,2009
"2010-05-08","D1","Bochum","Hannover","A",2.27,3.47,2.88,2009
"2010-05-08","D1","Freiburg","Dortmund","H",3.72,3.54,1.91,2009
"2010-05-08","D1","Hertha","Bayern Munich","A",3.98,3.6,1.83,2009
"2010-05-08","D1","Hoffenheim","Stuttgart","D",2.84,3.41,2.32,2009
"2010-05-08","D1","Mainz","Schalke 04","D",2.85,3.29,2.37,2009
"2010-05-08","D1","M'gladbach","Leverkusen","D",4.3,3.81,1.71,2009
"2010-05-08","D1","Nurnberg","FC Koln","H",1.53,4.12,5.59,2009
"2010-05-08","D1","Werder Bremen","Hamburg","D",1.59,3.98,5.11,2009
"2010-05-08","D1","Wolfsburg","Ein Frankfurt","H",1.72,3.79,4.32,2009
"2010-08-20","D1","Bayern Munich","Wolfsburg","H",1.55,3.93,5.97,2010
"2010-08-21","D1","FC Koln","Kaiserslautern","A",2.16,3.29,3.3,2010
"2010-08-21","D1","Freiburg","St Pauli","A",2.21,3.29,3.17,2010
"2010-08-21","D1","Hamburg","Schalke 04","H",2.31,3.28,3,2010
"2010-08-21","D1","Hannover","Ein Frankfurt","H",2.63,3.25,2.62,2010
"2010-08-21","D1","Hoffenheim","Werder Bremen","H",2.74,3.32,2.48,2010
"2010-08-21","D1","M'gladbach","Nurnberg","D",1.93,3.37,3.92,2010
"2010-08-22","D1","Dortmund","Leverkusen","A",2.38,3.29,2.9,2010
"2010-08-22","D1","Mainz","Stuttgart","H",3.13,3.31,2.24,2010
"2010-08-27","D1","Kaiserslautern","Bayern Munich","H",6.67,4.19,1.48,2010
"2010-08-28","D1","Ein Frankfurt","Hamburg","A",3.16,3.34,2.19,2010
"2010-08-28","D1","Nurnberg","Freiburg","A",1.95,3.37,3.81,2010
"2010-08-28","D1","Schalke 04","Hannover","A",1.35,4.64,8.85,2010
"2010-08-28","D1","St Pauli","Hoffenheim","A",3.19,3.34,2.18,2010
"2010-08-28","D1","Werder Bremen","FC Koln","H",1.4,4.47,7.43,2010
"2010-08-28","D1","Wolfsburg","Mainz","A",1.58,3.83,5.56,2010
"2010-08-29","D1","Leverkusen","M'gladbach","A",1.38,4.47,7.97,2010
"2010-08-29","D1","Stuttgart","Dortmund","A",2.35,3.25,2.95,2010
"2010-09-10","D1","Hoffenheim","Schalke 04","H",2.38,3.33,2.92,2010
"2010-09-11","D1","Bayern Munich","Werder Bremen","D",1.56,3.97,5.64,2010
"2010-09-11","D1","Dortmund","Wolfsburg","H",2.14,3.37,3.29,2010
"2010-09-11","D1","Freiburg","Stuttgart","H",3.34,3.34,2.13,2010
"2010-09-11","D1","Hamburg","Nurnberg","D",1.36,4.65,8.32,2010
"2010-09-11","D1","Hannover","Leverkusen","D",3.69,3.42,1.98,2010
"2010-09-11","D1","M'gladbach","Ein Frankfurt","A",2.11,3.36,3.36,2010
"2010-09-12","D1","FC Koln","St Pauli","H",2.13,3.3,3.39,2010
"2010-09-12","D1","Mainz","Kaiserslautern","H",2.17,3.3,3.3,2010
"2010-09-17","D1","Ein Frankfurt","Freiburg","A",1.77,3.57,4.57,2010
"2010-09-18","D1","Bayern Munich","FC Koln","D",1.23,5.95,11.5,2010
"2010-09-18","D1","Kaiserslautern","Hoffenheim","D",2.84,3.31,2.4,2010
"2010-09-18","D1","Stuttgart","M'gladbach","H",1.81,3.52,4.28,2010
"2010-09-18","D1","Werder Bremen","Mainz","A",1.48,4.2,6.34,2010
"2010-09-18","D1","Wolfsburg","Hannover","H",1.54,4.1,5.69,2010
"2010-09-19","D1","Leverkusen","Nurnberg","D",1.4,4.55,7.51,2010
"2010-09-19","D1","Schalke 04","Dortmund","A",2.27,3.26,3.1,2010
"2010-09-19","D1","St Pauli","Hamburg","D",3.5,3.39,2.04,2010
"2010-09-21","D1","Hannover","Werder Bremen","H",3.53,3.5,2.01,2010
"2010-09-21","D1","Hoffenheim","Bayern Munich","A",3.63,3.39,2.02,2010
"2010-09-21","D1","Mainz","FC Koln","H",1.89,3.45,4,2010
"2010-09-22","D1","Dortmund","Kaiserslautern","H",1.49,4.02,6.72,2010
"2010-09-22","D1","Freiburg","Schalke 04","A",3.07,3.26,2.28,2010
"2010-09-22","D1","Hamburg","Wolfsburg","A",2.01,3.38,3.63,2010
"2010-09-22","D1","Leverkusen","Ein Frankfurt","H",1.65,3.63,5.32,2010
"2010-09-22","D1","M'gladbach","St Pauli","A",2.02,3.41,3.54,2010
"2010-09-22","D1","Nurnberg","Stuttgart","H",3.14,3.3,2.23,2010
"2010-09-24","D1","FC Koln","Hoffenheim","D",3.24,3.32,2.2,2010
"2010-09-25","D1","Bayern Munich","Mainz","A",1.44,4.29,7.05,2010
"2010-09-25","D1","Ein Frankfurt","Nurnberg","H",2.01,3.37,3.65,2010
"2010-09-25","D1","Schalke 04","M'gladbach","D",1.52,3.95,6.33,2010
"2010-09-25","D1","St Pauli","Dortmund","A",3.67,3.39,2,2010
"2010-09-25","D1","Stuttgart","Leverkusen","A",2.35,3.35,2.92,2010
"2010-09-25","D1","Werder Bremen","Hamburg","H",2.33,3.33,2.95,2010
"2010-09-26","D1","Kaiserslautern","Hannover","A",2.19,3.33,3.19,2010
"2010-09-26","D1","Wolfsburg","Freiburg","H",1.45,4.37,6.7,2010
"2010-10-01","D1","Hannover","St Pauli","A",2.04,3.42,3.56,2010
"2010-10-02","D1","Freiburg","FC Koln","H",2.26,3.28,3.12,2010
"2010-10-02","D1","Hamburg","Kaiserslautern","H",1.54,3.88,6.23,2010
"2010-10-02","D1","Mainz","Hoffenheim","H",2.23,3.31,3.16,2010
"2010-10-02","D1","M'gladbach","Wolfsburg","D",3.32,3.42,2.11,2010
"2010-10-02","D1","Nurnberg","Schalke 04","H",3.04,3.29,2.3,2010
"2010-10-03","D1","Dortmund","Bayern Munich","H",2.53,3.35,2.67,2010
"2010-10-03","D1","Leverkusen","Werder Bremen","D",2.07,3.45,3.37,2010
"2010-10-03","D1","Stuttgart","Ein Frankfurt","A",1.92,3.44,3.88,2010
"2010-10-15","D1","FC Koln","Dortmund","A",4.63,3.59,1.75,2010
"2010-10-16","D1","Bayern Munich","Hannover","H",1.39,4.53,7.88,2010
"2010-10-16","D1","Mainz","Hamburg","A",2.27,3.32,3.07,2010
"2010-10-16","D1","Schalke 04","Stuttgart","D",2.03,3.37,3.57,2010
"2010-10-16","D1","St Pauli","Nurnberg","H",2.23,3.27,3.19,2010
"2010-10-16","D1","Werder Bremen","Freiburg","H",1.51,4.12,6.11,2010
"2010-10-16","D1","Wolfsburg","Leverkusen","A",2.31,3.42,2.93,2010
"2010-10-17","D1","Hoffenheim","M'gladbach","H",1.65,3.75,5.14,2010
"2010-10-17","D1","Kaiserslautern","Ein Frankfurt","A",2.4,3.29,2.88,2010
"2010-10-22","D1","Hamburg","Bayern Munich","D",2.69,3.26,2.6,2010
"2010-10-23","D1","Ein Frankfurt","Schalke 04","D",2.71,3.29,2.54,2010
"2010-10-23","D1","Freiburg","Kaiserslautern","H",2.21,3.31,3.2,2010
"2010-10-23","D1","Hannover","FC Koln","H",2.09,3.33,3.45,2010
"2010-10-23","D1","M'gladbach","Werder Bremen","A",3.37,3.51,2.06,2010
"2010-10-23","D1","Nurnberg","Wolfsburg","H",2.96,3.35,2.32,2010
"2010-10-24","D1","Dortmund","Hoffenheim","D",1.75,3.6,4.57,2010
"2010-10-24","D1","Leverkusen","Mainz","A",1.82,3.56,4.24,2010
"2010-10-24","D1","Stuttgart","St Pauli","H",1.67,3.72,4.98,2010
"2010-10-29","D1","Bayern Munich","Freiburg","H",1.29,5.22,10.27,2010
"2010-10-30","D1","FC Koln","Hamburg","H",3.55,3.4,2.04,2010
"2010-10-30","D1","Kaiserslautern","M'gladbach","H",2.11,3.41,3.34,2010
"2010-10-30","D1","Schalke 04","Leverkusen","A",2.45,3.34,2.78,2010
"2010-10-30","D1","St Pauli","Ein Frankfurt","A",2.5,3.31,2.73,2010
"2010-10-30","D1","Werder Bremen","Nurnberg","A",1.51,4.1,6.18,2010
"2010-10-30","D1","Wolfsburg","Stuttgart","H",2.12,3.4,3.3,2010
"2010-10-31","D1","Hoffenheim","Hannover","H",1.63,3.79,5.27,2010
"2010-10-31","D1","Mainz","Dortmund","A",2.81,3.31,2.45,2010
"2010-11-05","D1","Schalke 04","St Pauli","H",1.65,3.71,5.3,2010
"2010-11-06","D1","Ein Frankfurt","Wolfsburg","H",2.42,3.4,2.77,2010
"2010-11-06","D1","Freiburg","Mainz","H",2.85,3.28,2.43,2010
"2010-11-06","D1","Hamburg","Hoffenheim","H",2.18,3.3,3.25,2010
"2010-11-06","D1","M'gladbach","Bayern Munich","D",5.7,3.93,1.56,2010
"2010-11-06","D1","Nurnberg","FC Koln","H",1.98,3.42,3.69,2010
"2010-11-07","D1","Hannover","Dortmund","A",4.32,3.61,1.78,2010
"2010-11-07","D1","Leverkusen","Kaiserslautern","H",1.44,4.39,6.69,2010
"2010-11-07","D1","Stuttgart","Werder Bremen","H",2.49,3.39,2.69,2010
"2010-11-12","D1","Dortmund","Hamburg","H",1.67,3.73,5.11,2010
"2010-11-13","D1","FC Koln","M'gladbach","A",2.11,3.42,3.32,2010
"2010-11-13","D1","Kaiserslautern","Stuttgart","D",3,3.39,2.28,2010
"2010-11-13","D1","Mainz","Hannover","A",1.71,3.59,4.93,2010
"2010-11-13","D1","St Pauli","Leverkusen","A",3.47,3.42,2.05,2010
"2010-11-13","D1","Werder Bremen","Ein Frankfurt","D",1.91,3.59,3.77,2010
"2010-11-13","D1","Wolfsburg","Schalke 04","D",2.27,3.4,3.01,2010
"2010-11-14","D1","Bayern Munich","Nurnberg","H",1.33,5,9.04,2010
"2010-11-14","D1","Hoffenheim","Freiburg","A",1.58,3.83,5.75,2010
"2010-11-20","D1","Ein Frankfurt","Hoffenheim","A",2.21,3.36,3.14,2010
"2010-11-20","D1","Freiburg","Dortmund","A",5.4,3.75,1.62,2010
"2010-11-20","D1","Hannover","Hamburg","H",2.95,3.34,2.33,2010
"2010-11-20","D1","Leverkusen","Bayern Munich","D",2.9,3.35,2.37,2010
"2010-11-20","D1","M'gladbach","Mainz","A",2.38,3.32,2.89,2010
"2010-11-20","D1","Nurnberg","Kaiserslautern","A",1.94,3.46,3.8,2010
"2010-11-20","D1","Schalke 04","Werder Bremen","H",2.18,3.38,3.21,2010
"2010-11-21","D1","St Pauli","Wolfsburg","D",2.99,3.39,2.28,2010
"2010-11-21","D1","Stuttgart","FC Koln","A",1.51,4.1,6.21,2010
"2010-11-26","D1","Mainz","Nurnberg","H",1.82,3.45,4.5,2010
"2010-11-27","D1","Bayern Munich","Ein Frankfurt","H",1.35,4.77,8.84,2010
"2010-11-27","D1","Dortmund","M'gladbach","H",1.29,5.21,9.86,2010
"2010-11-27","D1","Hamburg","Stuttgart","H",2.06,3.38,3.5,2010
"2010-11-27","D1","Hannover","Freiburg","H",2.21,3.25,3.22,2010
"2010-11-27","D1","Hoffenheim","Leverkusen","D",2.57,3.29,2.67,2010
"2010-11-27","D1","Kaiserslautern","Schalke 04","H",3.23,3.36,2.17,2010
"2010-11-28","D1","FC Koln","Wolfsburg","D",2.77,3.34,2.45,2010
"2010-11-28","D1","Werder Bremen","St Pauli","H",1.77,3.62,4.44,2010
"2010-12-03","D1","St Pauli","Kaiserslautern","H",2.4,3.3,2.89,2010
"2010-12-04","D1","Ein Frankfurt","Mainz","H",2.22,3.25,3.24,2010
"2010-12-04","D1","Freiburg","Hamburg","H",3.1,3.27,2.28,2010
"2010-12-04","D1","M'gladbach","Hannover","A",2.22,3.4,3.1,2010
"2010-12-04","D1","Schalke 04","Bayern Munich","H",3.49,3.4,2.06,2010
"2010-12-04","D1","Stuttgart","Hoffenheim","D",2.16,3.42,3.21,2010
"2010-12-04","D1","Wolfsburg","Werder Bremen","D",2,3.51,3.53,2010
"2010-12-05","D1","Leverkusen","FC Koln","H",1.41,4.41,7.72,2010
"2010-12-05","D1","Nurnberg","Dortmund","A",5.04,3.65,1.69,2010
"2010-12-10","D1","Hannover","Stuttgart","H",2.56,3.42,2.63,2010
"2010-12-11","D1","Bayern Munich","St Pauli","H",1.19,6.35,14.13,2010
"2010-12-11","D1","Dortmund","Werder Bremen","H",1.58,4.01,5.43,2010
"2010-12-11","D1","FC Koln","Ein Frankfurt","H",2.42,3.33,2.82,2010
"2010-12-11","D1","Hamburg","Leverkusen","A",2.48,3.31,2.77,2010
"2010-12-11","D1","Hoffenheim","Nurnberg","D",1.61,3.77,5.54,2010
"2010-12-11","D1","Kaiserslautern","Wolfsburg","D",2.45,3.32,2.79,2010
"2010-12-12","D1","Freiburg","M'gladbach","H",1.89,3.49,3.92,2010
"2010-12-12","D1","Mainz","Schalke 04","A",2.53,3.27,2.72,2010
"2010-12-17","D1","M'gladbach","Hamburg","A",3.3,3.45,2.13,2010
"2010-12-18","D1","Ein Frankfurt","Dortmund","H",4.5,3.61,1.77,2010
"2010-12-18","D1","Nurnberg","Hannover","H",2.16,3.37,3.27,2010
"2010-12-18","D1","Schalke 04","FC Koln","H",1.46,4.14,7.37,2010
"2010-12-18","D1","St Pauli","Mainz","A",2.51,3.25,2.78,2010
"2010-12-18","D1","Werder Bremen","Kaiserslautern","A",1.6,3.95,5.32,2010
"2010-12-18","D1","Wolfsburg","Hoffenheim","D",2.14,3.41,3.27,2010
"2010-12-19","D1","Leverkusen","Freiburg","D",1.43,4.23,7.55,2010
"2010-12-19","D1","Stuttgart","Bayern Munich","A",3.98,3.55,1.88,2010
"2011-01-14","D1","Leverkusen","Dortmund","A",2.39,3.33,2.95,2010
"2011-01-15","D1","Nurnberg","M'gladbach","A",2.02,3.42,3.63,2010
"2011-01-15","D1","Schalke 04","Hamburg","A",2.09,3.36,3.47,2010
"2011-01-15","D1","St Pauli","Freiburg","D",2.31,3.32,3.03,2010
"2011-01-15","D1","Stuttgart","Mainz","H",1.95,3.43,3.82,2010
"2011-01-15","D1","Werder Bremen","Hoffenheim","H",2.01,3.47,3.59,2010
"2011-01-15","D1","Wolfsburg","Bayern Munich","D",4.91,3.72,1.69,2010
"2011-01-16","D1","Ein Frankfurt","Hannover","A",2.01,3.41,3.61,2010
"2011-01-16","D1","Kaiserslautern","FC Koln","D",1.9,3.51,3.88,2010
"2011-01-21","D1","Hamburg","Ein Frankfurt","H",1.54,4.07,5.93,2010
"2011-01-22","D1","Bayern Munich","Kaiserslautern","H",1.22,6.11,12.23,2010
"2011-01-22","D1","Dortmund","Stuttgart","D",1.49,4.26,6.26,2010
"2011-01-22","D1","FC Koln","Werder Bremen","H",2.94,3.32,2.35,2010
"2011-01-22","D1","Freiburg","Nurnberg","D",2.29,3.28,3.07,2010
"2011-01-22","D1","Hannover","Schalke 04","A",2.89,3.34,2.38,2010
"2011-01-22","D1","Mainz","Wolfsburg","A",2.3,3.28,3.08,2010
"2011-01-23","D1","Hoffenheim","St Pauli","D",1.61,3.75,5.55,2010
"2011-01-23","D1","M'gladbach","Leverkusen","A",3.97,3.57,1.87,2010
"2011-01-28","D1","Leverkusen","Hannover","H",1.51,4.11,6.34,2010
"2011-01-29","D1","Kaiserslautern","Mainz","A",2.2,3.29,3.21,2010
"2011-01-29","D1","Nurnberg","Hamburg","H",3.26,3.37,2.15,2010
"2011-01-29","D1","Schalke 04","Hoffenheim","A",1.72,3.58,4.86,2010
"2011-01-29","D1","St Pauli","FC Koln","H",2.27,3.3,3.08,2010
"2011-01-29","D1","Werder Bremen","Bayern Munich","A",4.92,3.77,1.67,2010
"2011-01-29","D1","Wolfsburg","Dortmund","A",4.22,3.58,1.81,2010
"2011-01-30","D1","Ein Frankfurt","M'gladbach","A",2,3.4,3.6,2010
"2011-01-30","D1","Stuttgart","Freiburg","A",1.55,3.93,5.87,2010
"2011-02-04","D1","Dortmund","Schalke 04","D",1.63,3.76,5.47,2010
"2011-02-05","D1","FC Koln","Bayern Munich","H",6.67,4.21,1.47,2010
"2011-02-05","D1","Hannover","Wolfsburg","H",2.46,3.3,2.79,2010
"2011-02-05","D1","Hoffenheim","Kaiserslautern","H",1.79,3.56,4.39,2010
"2011-02-05","D1","Mainz","Werder Bremen","D",2.36,3.36,2.89,2010
"2011-02-05","D1","M'gladbach","Stuttgart","A",2.79,3.32,2.46,2010
"2011-02-05","D1","Nurnberg","Leverkusen","H",3.5,3.37,2.06,2010
"2011-02-06","D1","Freiburg","Ein Frankfurt","D",2.13,3.36,3.33,2010
"2011-02-12","D1","Bayern Munich","Hoffenheim","H",1.36,4.73,8.29,2010
"2011-02-12","D1","Ein Frankfurt","Leverkusen","A",3.57,3.36,2.04,2010
"2011-02-12","D1","Kaiserslautern","Dortmund","D",5.28,3.74,1.63,2010
"2011-02-12","D1","Schalke 04","Freiburg","H",1.68,3.58,5.11,2010
"2011-02-12","D1","St Pauli","M'gladbach","H",2.02,3.39,3.57,2010
"2011-02-12","D1","Stuttgart","Nurnberg","A",1.75,3.54,4.68,2010
"2011-02-12","D1","Wolfsburg","Hamburg","A",2.45,3.3,2.78,2010
"2011-02-13","D1","FC Koln","Mainz","H",2.38,3.29,2.89,2010
"2011-02-13","D1","Werder Bremen","Hannover","D",1.74,3.65,4.51,2010
"2011-02-16","D1","Hamburg","St Pauli","A",1.6,3.87,5.52,2010
"2011-02-18","D1","Nurnberg","Ein Frankfurt","H",1.94,3.49,3.85,2010
"2011-02-19","D1","Dortmund","St Pauli","H",1.3,5.12,9.7,2010
"2011-02-19","D1","Freiburg","Wolfsburg","H",2.43,3.34,2.82,2010
"2011-02-19","D1","Hamburg","Werder Bremen","H",1.9,3.48,3.98,2010
"2011-02-19","D1","Hannover","Kaiserslautern","H",2.06,3.35,3.57,2010
"2011-02-19","D1","Hoffenheim","FC Koln","D",1.79,3.57,4.39,2010
"2011-02-19","D1","Mainz","Bayern Munich","A",5.09,3.92,1.63,2010
"2011-02-20","D1","Leverkusen","Stuttgart","H",1.61,3.99,5.18,2010
"2011-02-20","D1","M'gladbach","Schalke 04","H",3.43,3.39,2.1,2010
"2011-02-25","D1","Wolfsburg","M'gladbach","H",1.82,3.61,4.3,2010
"2011-02-26","D1","Bayern Munich","Dortmund","A",1.8,3.62,4.32,2010
"2011-02-26","D1","FC Koln","Freiburg","H",2.2,3.29,3.25,2010
"2011-02-26","D1","Hoffenheim","Mainz","A",2.04,3.4,3.55,2010
"2011-02-26","D1","Kaiserslautern","Hamburg","D",3,3.33,2.33,2010
"2011-02-26","D1","Schalke 04","Nurnberg","D",1.83,3.45,4.34,2010
"2011-02-26","D1","St Pauli","Hannover","A",2.31,3.37,2.98,2010
"2011-02-27","D1","Ein Frankfurt","Stuttgart","A",2.53,3.32,2.7,2010
"2011-02-27","D1","Werder Bremen","Leverkusen","D",3.06,3.38,2.26,2010
"2011-03-04","D1","Dortmund","FC Koln","H",1.3,5.21,9.71,2010
"2011-03-05","D1","Ein Frankfurt","Kaiserslautern","D",2.28,3.28,3.09,2010
"2011-03-05","D1","Hannover","Bayern Munich","H",5.06,3.75,1.66,2010
"2011-03-05","D1","Leverkusen","Wolfsburg","H",1.59,3.89,5.58,2010
"2011-03-05","D1","M'gladbach","Hoffenheim","H",2.59,3.33,2.62,2010
"2011-03-05","D1","Nurnberg","St Pauli","H",1.83,3.48,4.3,2010
"2011-03-05","D1","Stuttgart","Schalke 04","H",2.09,3.38,3.43,2010
"2011-03-06","D1","Freiburg","Werder Bremen","A",2.44,3.35,2.8,2010
"2011-03-06","D1","Hamburg","Mainz","A",1.87,3.43,4.11,2010
"2011-03-11","D1","FC Koln","Hannover","H",2.38,3.37,2.92,2010
"2011-03-12","D1","Bayern Munich","Hamburg","H",1.53,4.08,6.03,2010
"2011-03-12","D1","Hoffenheim","Dortmund","H",4.67,3.63,1.74,2010
"2011-03-12","D1","Kaiserslautern","Freiburg","H",2.17,3.3,3.3,2010
"2011-03-12","D1","Schalke 04","Ein Frankfurt","H",1.68,3.61,5.19,2010
"2011-03-12","D1","Werder Bremen","M'gladbach","D",1.67,3.83,4.9,2010
"2011-03-12","D1","Wolfsburg","Nurnberg","A",2.17,3.37,3.26,2010
"2011-03-13","D1","Mainz","Leverkusen","A",3.17,3.32,2.22,2010
"2011-03-13","D1","St Pauli","Stuttgart","A",3.13,3.39,2.2,2010
"2011-03-18","D1","M'gladbach","Kaiserslautern","A",2.26,3.41,3.11,2010
"2011-03-19","D1","Dortmund","Mainz","D",1.42,4.46,7.41,2010
"2011-03-19","D1","Ein Frankfurt","St Pauli","H",2,3.4,3.7,2010
"2011-03-19","D1","Freiburg","Bayern Munich","A",6,4.15,1.53,2010
"2011-03-19","D1","Hamburg","FC Koln","H",1.77,3.66,4.42,2010
"2011-03-19","D1","Hannover","Hoffenheim","H",2.23,3.34,3.17,2010
"2011-03-19","D1","Nurnberg","Werder Bremen","A",2.26,3.42,3.03,2010
"2011-03-20","D1","Leverkusen","Schalke 04","H",1.82,3.5,4.32,2010
"2011-03-20","D1","Stuttgart","Wolfsburg","D",1.99,3.47,3.7,2010
"2011-04-01","D1","St Pauli","Schalke 04","A",3.31,3.36,2.19,2010
"2011-04-02","D1","Bayern Munich","M'gladbach","H",1.19,6.74,13.79,2010
"2011-04-02","D1","Dortmund","Hannover","H",1.42,4.42,7.57,2010
"2011-04-02","D1","Hoffenheim","Hamburg","D",2.54,3.31,2.72,2010
"2011-04-02","D1","Kaiserslautern","Leverkusen","A",3.6,3.44,2.02,2010
"2011-04-02","D1","Mainz","Freiburg","D",1.86,3.49,4.18,2010
"2011-04-02","D1","Werder Bremen","Stuttgart","D",2.22,3.45,3.12,2010
"2011-04-03","D1","FC Koln","Nurnberg","H",2.36,3.36,2.93,2010
"2011-04-03","D1","Wolfsburg","Ein Frankfurt","D",1.8,3.59,4.41,2010
"2011-04-08","D1","Ein Frankfurt","Werder Bremen","D",2.81,3.42,2.45,2010
"2011-04-09","D1","Freiburg","Hoffenheim","H",2.57,3.31,2.7,2010
"2011-04-09","D1","Hamburg","Dortmund","D",3.13,3.42,2.22,2010
"2011-04-09","D1","Hannover","Mainz","H",2.16,3.36,3.31,2010
"2011-04-09","D1","Nurnberg","Bayern Munich","D",5.28,3.97,1.61,2010
"2011-04-09","D1","Schalke 04","Wolfsburg","H",2.16,3.38,3.32,2010
"2011-04-09","D1","Stuttgart","Kaiserslautern","A",1.78,3.63,4.46,2010
"2011-04-10","D1","Leverkusen","St Pauli","H",1.22,6.24,12.54,2010
"2011-04-10","D1","M'gladbach","FC Koln","H",2.2,3.42,3.18,2010
"2011-04-15","D1","Mainz","M'gladbach","H",1.93,3.59,3.87,2010
"2011-04-16","D1","FC Koln","Stuttgart","A",2.46,3.35,2.79,2010
"2011-04-16","D1","Hamburg","Hannover","D",1.97,3.52,3.72,2010
"2011-04-16","D1","Hoffenheim","Ein Frankfurt","H",2.03,3.4,3.61,2010
"2011-04-16","D1","Kaiserslautern","Nurnberg","A",2.32,3.3,3.03,2010
"2011-04-16","D1","Werder Bremen","Schalke 04","D",2.11,3.38,3.37,2010
"2011-04-16","D1","Wolfsburg","St Pauli","D",1.5,4.1,6.58,2010
"2011-04-17","D1","Bayern Munich","Leverkusen","H",1.89,3.62,3.89,2010
"2011-04-17","D1","Dortmund","Freiburg","H",1.3,5.11,9.99,2010
"2011-04-21","D1","Freiburg","Hannover","A",2.57,3.35,2.7,2010
"2011-04-23","D1","Ein Frankfurt","Bayern Munich","D",6.25,4.2,1.5,2010
"2011-04-23","D1","Leverkusen","Hoffenheim","H",1.53,4.08,6.15,2010
"2011-04-23","D1","M'gladbach","Dortmund","H",5.42,3.98,1.59,2010
"2011-04-23","D1","Schalke 04","Kaiserslautern","A",2.02,3.4,3.68,2010
"2011-04-23","D1","St Pauli","Werder Bremen","A",3.22,3.41,2.17,2010
"2011-04-23","D1","Stuttgart","Hamburg","H",2.06,3.5,3.44,2010
"2011-04-24","D1","Nurnberg","Mainz","D",2.12,3.37,3.39,2010
"2011-04-24","D1","Wolfsburg","FC Koln","H",1.65,3.85,5.09,2010
"2011-04-29","D1","Kaiserslautern","St Pauli","H",1.7,3.83,4.79,2010
"2011-04-29","D1","Werder Bremen","Wolfsburg","A",2.05,3.54,3.47,2010
"2011-04-30","D1","Bayern Munich","Schalke 04","H",1.3,5.26,9.44,2010
"2011-04-30","D1","Dortmund","Nurnberg","H",1.43,4.42,7.32,2010
"2011-04-30","D1","FC Koln","Leverkusen","H",4.01,3.66,1.84,2010
"2011-04-30","D1","Hamburg","Freiburg","A",1.65,3.83,5.01,2010
"2011-04-30","D1","Hannover","M'gladbach","A",1.76,3.69,4.44,2010
"2011-04-30","D1","Hoffenheim","Stuttgart","A",2.75,3.35,2.47,2010
"2011-04-30","D1","Mainz","Ein Frankfurt","H",2.02,3.35,3.7,2010
"2011-05-07","D1","Ein Frankfurt","FC Koln","A",2.05,3.41,3.53,2010
